STATUS,TITLE,DEPARTMENT,FUNCTION,DIVISION,UNION_STATUS,EMPLOYMENT_CATEGORY,AGE,GENERATION,GENDER,ETHNIC_ORIGIN,LAST_PERFORMANCE_RATING,LAST_POTENTIAL_RATING,EMPLOYEE_PAY_FREQUENCY,EXEMPTTF,EMPLOYEE_PAY_BASIS,MANAGER_ID
Active,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee PT,36,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2806
Active,Account Manager,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,52,Boomer,Male,W,Successfully Meets Expectations,Not assigned,Monthly,T,Salary,S5377
Active,Driver,Operations-East,Operations,Product,Union,Regular Employee FT,35,Generation X,Male,W,No Rating,No Rating,Bi-Weekly,F,Daily,S115
Active,Driver,Operations-West,Operations,Product,Non-Union,Regular Employee FT,37,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Daily,S534
Active,Account Manager,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,58,Boomer,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,T,Salary,S4575
Active,Laborer,Operations-West,Operations,Product,Union,Regular Employee FT,32,Generation X,Male,B,No Rating,No Rating,Bi-Weekly,F,Hourly,S3009
Active,Sales Representative,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,32,Generation X,Male,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2875
Active,Customer Service Representative,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,38,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2944
Active,Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,44,Generation X,Male,H,Meets & Exceeds,Not assigned,Bi-Weekly,F,Daily,S60
Active,Driver,Operations-West,Operations,Product,Non-Union,Regular Employee FT,31,Generation Y,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Daily,S27
Active,Driver,Sales-Central,Sales,Sales,Union,Regular Employee FT,55,Boomer,Male,W,No Rating,No Rating,Bi-Weekly,F,Daily,S49
Active,Materials Handler,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,33,Generation X,Male,W,No Rating,No Rating,Weekly,F,Hourly,S3965
Terminated,Laborer,Operations-East,Operations,Product,Union,Regular Employee PT,22,Generation Y,Male,B,No Rating,No Rating,Bi-Weekly,F,Hourly,S1220
Terminated,Forklift Driver,Operations-East,Operations,Product,Union,Regular Employee FT,62,Boomer,Male,B,No Rating,No Rating,Bi-Weekly,F,Hourly,S1078
Active,Director,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,51,Boomer,Male,W,Meets & Exceeds,Top Talent,Monthly,T,Salary,S2260
Active,Driver,Operations-West,Operations,Product,Non-Union,Regular Employee FT,43,Generation X,Male,W,Exceeds,Not assigned,Bi-Weekly,F,Daily,S281
Terminated,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee PT,44,Generation X,Female,H,No Rating,No Rating,Bi-Weekly,F,Hourly,S166
Active,Technician,Factory-East,Manufacturing,Product,Union,Regular Employee FT,33,Generation X,Female,B,No Rating,No Rating,Weekly,F,Hourly,S3327
Active,Director,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,49,Generation X,Male,W,Successfully Meets Expectations,Strong Contributor,Semi-Mont,T,Salary,S2495
Active,Merchandiser,Sales-West,Sales,Sales,Union,Regular Employee FT,24,Generation Y,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S2252
Active,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee FT,28,Generation Y,Male,B,No Rating,No Rating,Bi-Weekly,F,Hourly,S1091
Active,Merchandiser,Sales-Central,Sales,Sales,Union,Regular Employee PT,21,Generation Y,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S2550
Active,Administrator,Finance,Finance & IT,Corporate,Non-Union,Regular Employee FT,60,Boomer,Female,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1575
Active,Technician,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,59,Boomer,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1084
Active,Laborer,Factory-Central,Manufacturing,Product,Union,Regular Employee FT,46,Generation X,Female,W,No Rating,No Rating,Weekly,F,Hourly,S3921
Active,Director,Finance,Finance & IT,Corporate,Non-Union,Regular Employee FT,45,Generation X,Male,W,Successfully Meets Expectations,Strong Contributor,Monthly,T,Salary,S4236
Active,Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,41,Generation X,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S743
Active,Merchandiser,Sales-East,Sales,Sales,Union,Regular Employee FT,60,Boomer,Male,H,No Rating,No Rating,Weekly,F,Hourly,S3655
Active,Technician,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,47,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1264
Active,Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,38,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S665
Active,Technician,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,47,Generation X,Male,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1544
Active,Forklift Driver,Operations-West,Operations,Product,Non-Union,Regular Employee FT,38,Generation X,Male,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2056
Active,Laborer,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,32,Generation X,Male,W,Meets & Exceeds,Not assigned,Bi-Weekly,F,Hourly,S1975
Active,Driver,Operations-East,Operations,Product,Union,Regular Employee FT,45,Generation X,Male,W,No Rating,No Rating,Bi-Weekly,F,Daily,S380
Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,37,Generation X,Male,W,Developing/Meets Some,Not assigned,Bi-Weekly,F,Hourly,S1735
Active,Laborer,Operations-West,Operations,Product,Union,Regular Employee FT,39,Generation X,Male,B,No Rating,No Rating,Weekly,F,Hourly,S3322
Active,Account Manager,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,51,Boomer,Male,W,Meets & Exceeds,Not assigned,Monthly,T,Salary,S5464
Active,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee FT,49,Boomer,Male,N,Meets & Exceeds,Not assigned,Bi-Weekly,F,Hourly,S1263
Active,Labor,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,47,Generation X,Male,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1690
Active,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee FT,24,Generation Y,Male,H,No Rating,No Rating,Bi-Weekly,F,Hourly,S1943
Active,Laborer,Operations-West,Operations,Product,Union,Regular Employee FT,49,Generation X,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S1188
Active,Driver,Operations-West,Operations,Product,Non-Union,Regular Employee FT,38,Generation X,Male,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Daily,S647
Active,Planner,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,52,Boomer,Female,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S3165
Active,Merchandiser,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,21,Generation Y,Male,H,No Rating,No Rating,Weekly,F,Hourly,S3451
Active,Merchandiser,Sales-Central,Sales,Sales,Union,Regular Employee FT,60,Boomer,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S2709
Active,Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,32,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1311
Active,Technician,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,66,Boomer,Female,H,Successfully Meets Expectations,Not assigned,Semi-Mont,F,Salary,S3193
Active,Driver,Operations-East,Operations,Product,Union,Regular Employee FT,36,Generation X,Male,W,No Rating,No Rating,Weekly,F,Daily,S838
Terminated,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee PT,26,Generation Y,Female,H,No Rating,No Rating,Bi-Weekly,F,Hourly,S695
Active,Merchandiser,Sales-Central,Sales,Sales,Union,Regular Employee FT,42,Generation X,Male,H,No Rating,No Rating,Bi-Weekly,F,Hourly,S2026
Active,Merchandiser,Sales-Central,Sales,Sales,Union,Regular Employee FT,40,Generation X,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S320
Active,Supervisor,Operations-East,Operations,Product,Non-Union,Regular Employee FT,43,Generation X,Male,H,Successfully Meets Expectations,Not assigned,Monthly,T,Salary,S649
Active,Technician,Customer Service,Customer Care,Customer Care,Union,Regular Employee FT,38,Generation X,Male,W,No Rating,No Rating,Bi-Weekly,F,Hourly,S988
Active,Administrator,Finance,Finance & IT,Corporate,Non-Union,Regular Employee FT,46,Generation X,Female,H,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1796
Active,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee FT,26,Generation Y,Male,B,Developing/Meets Some,Not assigned,Bi-Weekly,F,Hourly,S2588
Active,Driver,Operations-East,Operations,Product,Union,Regular Employee FT,27,Generation Y,Male,W,No Rating,No Rating,Bi-Weekly,F,Daily,S6
Active,Manager,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,52,Boomer,Male,W,Successfully Meets Expectations,Strong Contributor,Semi-Mont,T,Salary,S4094
Active,Forklift Driver,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,58,Boomer,Male,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1937
Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,35,Generation X,Male,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Daily,S412
Active,Vice President,HR,HR,Corporate,Non-Union,Regular Employee FT,44,Generation X,Female,W,Exceeds,Top Talent,Monthly,T,Salary,S4180
Active,Driver,Operations-East,Operations,Product,Union,Regular Employee FT,49,Boomer,Male,W,No Rating,No Rating,Bi-Weekly,F,Daily,S101
Terminated,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee PT,24,Generation Y,Male,B,No Rating,No Rating,Bi-Weekly,F,Hourly,S1393
Active,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee PT,39,Generation X,Male,B,No Rating,No Rating,Bi-Weekly,F,Hourly,S1714
Active,Operator,Factory-Central,Manufacturing,Product,Non-Union,Regular Employee FT,25,Generation Y,Male,H,Successfully Meets Expectations,Not assigned,Weekly,F,Hourly,S3868
Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee PT,33,Generation X,Male,B,No Rating,No Rating,Bi-Weekly,F,Hourly,S354
Active,Merchandiser,Sales-West,Sales,Sales,Union,Regular Employee FT,29,Generation Y,Male,H,No Rating,No Rating,Bi-Weekly,F,Hourly,S2202
Active,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee FT,47,Generation X,Male,B,Meets & Exceeds,Not assigned,Bi-Weekly,F,Hourly,S1087
Active,Labor,Factory-Central,Manufacturing,Product,Non-Union,Regular Employee FT,62,Boomer,Male,B,Successfully Meets Expectations,Not assigned,Weekly,F,Hourly,S3719
Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,48,Generation X,Male,A,Meets & Exceeds,Not assigned,Bi-Weekly,F,Daily,S546
Active,Materials Handler,Factory-Central,Manufacturing,Product,Union,Regular Employee FT,51,Boomer,Male,W,No Rating,No Rating,Weekly,F,Hourly,S3903
Terminated,Administrative Assistant,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,23,Generation Y,Male,H,Successfully Meets Expectations,Emerging Talent,Monthly,T,Salary,S4560
Active,Driver,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,32,Generation X,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2454
Active,Mechanic,Support,Support,Product,Non-Union,Regular Employee FT,57,Boomer,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1399
Active,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee FT,44,Generation X,Male,B,Exceeds,Not assigned,Bi-Weekly,F,Hourly,S2809
Active,Labor,Factory-Central,Manufacturing,Product,Non-Union,Regular Employee FT,39,Generation X,Male,H,Meets & Exceeds,Not assigned,Bi-Weekly,F,Hourly,S1444
Active,Merchandiser,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,45,Generation X,Male,H,Meets & Exceeds,Not assigned,Weekly,F,Hourly,S3687
Terminated,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee PT,22,Generation Y,Male,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1805
Active,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee FT,20,Generation Y,Male,X,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S3001
Active,Laborer,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,59,Boomer,Male,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2006
Active,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee FT,27,Generation Y,Male,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1258
Active,Technician,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,33,Generation X,Female,W,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S955
Active,Coordinator,HR,HR,Corporate,Non-Union,Regular Employee FT,39,Generation X,Female,H,Successfully Meets Expectations,Not assigned,Monthly,T,Salary,S5093
Terminated,Coordinator,Finance,Finance & IT,Corporate,Non-Union,Regular Employee FT,42,Generation X,Female,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S2591
Active,Labor,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,50,Boomer,Female,B,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1690
Active,Technician,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,26,Generation Y,Male,X,Successfully Meets Expectations,Not assigned,Bi-Weekly,F,Hourly,S1211
Active,Labor,Factory-Central,Manufacturing,Product,Union,Regular Employee FT,58,Boomer,Female,W,No Rating,No Rating,Weekly,F,Hourly,S3996
Active,Clerk,Factory-Central,Manufacturing,Product,Non-Union,Regular Employee FT,33,Generation X,Female,B,Developing/Meets Some,Not assigned,Bi-Weekly,F,Hourly,S995
